,country,Number of crypto owners,Percentage of the population
0,United States,44816878,13.38
1,India,97483000,7.1
2,Vietnam,18669973,18.73
3,China,242564879,16.23
4,Ukraine,6018385,14.52
5,Kenya,5634955,10.71
6,Pakistan,24433805,10.62
7,Nigeria,20623813,9.55
8,Russia,13526666,9.33
9,Venezuela,3015636,9.02
10,Brazil,16652150,7.75
11,Colombia,3445267,6.63
12,Thailand,4332129,6.47
13,Philippines,6986919,6.13
14,South Africa,7509289,12.13
15,Argentina,2400023,5.18
16,United Kingdom,4071420,6.0
17,Turkey,3811882,4.5
18,Indonesia,12237009,4.45
19,Ghana,1391703,4.3
42,Togo,363963,4.21
43,South Korea,2015027,3.88
44,Peru,1281789,3.83
45,Tanzania,2323874,3.82
46,France,3323292,4.91
47,Malaysia,3089320,9.14
48,Canada,1353665,3.49
49,Bangladesh,5649023,3.3
50,Morocco,1151520,3.16
51,Cameroon,867387,3.12
52,Mexico,3992286,3.07
53,Germany,4751312,5.64
54,Belarus,279371,2.97
55,Australia,796052,2.94
56,Poland,1074607,2.83
57,Ecuador,500783,2.79
58,Netherlands,489849,2.75
59,Spain,1308367,2.73
60,Afghanistan,1039720,2.65
61,Hong Kong,205507,2.65
63,Nepal,791782,2.65
64,Iran,2253091,2.59
65,Chile,498616,2.51
66,Bulgaria,169537,2.47
67,Mozambique,788274,2.4
68,Japan,2882116,5.02
69,Benin,6275000,2.29
70,Egypt,2372936,2.26
71,Italy,1334163,2.26
72,Zambia,424937,2.24
73,Cambodia,382091,2.22
74,Democratic Republic of Congo,2038909,2.15
75,Portugal,219675,2.14
76,Georgia,79722,2.13
77,Bolivia,250449,2.1
78,Czech Republic,223515,2.08
79,Dominican Republic,221664,2.08
80,Romania,391691,2.06
81,Uganda,984732,2.01
82,Slovakia,109931,2.0
84,Sri Lanka,451508,2.0
85,Belgium,230693,1.98
86,Ivory Coast,546733,1.97
87,Rwanda,262937,1.94
88,Latvia,35324,1.91
89,Singapore,642987,11.05
90,"Moldova, Republic of",48282,1.88
91,Sweden,196948,1.88
92,Serbia,127461,1.86
93,Switzerland,161233,1.85
94,Honduras,172361,1.8
95,Zimbabwe,271307,1.78
96,Mauritius,23208,1.77
97,Algeria,823534,1.77
98,Madagascar,509460,1.76
99,Greece,182307,1.71
100,Jamaica,46526,1.7
101,Costa Rica,88127,1.69
102,Lebanon,130391,1.69
103,Estonia,22343,1.69
105,Tunisia,202715,1.69
106,Slovenia,34800,1.68
107,Lithuania,44538,1.68
108,El Salvador,108930,1.67
109,Panama,73168,1.66
110,Finland,91968,1.65
111,Uzbekistan,584526,1.64
112,Guatemala,305689,1.62
113,Austria,146399,1.62
114,Senegal,284854,1.62
115,Kyrgyzstan,110070,1.62
116,Norway,87248,1.6
117,Kazakhstan,304651,1.59
118,Namibia,41961,1.59
119,Croatia,61553,1.56
120,Angola,532986,1.53
121,Mali,326290,1.53
122,Ethiopia,1827706,1.52
123,New Zealand,79875,1.51
124,United Arab Emirates,155904,1.5
126,Saudi Arabia,543580,1.48
127,Hungary,143206,1.48
128,Uruguay,52245,1.47
129,Malawi,294542,1.47
130,Israel,141299,1.47
131,Jordan,162504,1.46
132,Albania,40348,1.43
133,Laos,105302,1.42
134,Botswana,34245,1.42
135,Cyprus,12711,1.41
136,Syria,229632,1.41
137,Myanmar,774122,1.41
138,Nicaragua,94998,1.4
139,Barbados,4023,1.4
140,Azerbaijan,143721,1.4
141,Denmark,81465,1.39
142,Bosnia and Herzegovina,48547,1.39
143,Mongolia,48069,1.38
144,Iraq,530914,1.37
145,Monaco,546,1.36
147,Armenia,39619,1.35
148,Ireland,68343,1.35
149,Trinidad and Tobago,18064,1.31
150,Haití,152295,1.3
151,Libya,92310,1.3
152,Paraguay,97110,1.3
153,Montenegro,7973,1.29
154,Puerto Rico,36235,1.28
155,Malta,7100,1.27
156,North Macedonia,26705,1.26
157,Seychelles,1257,1.26
158,Burkina Faso,274255,1.25
159,Bahamas,5360,1.25
160,Belize,5377,1.22
161,Kuwait,79518,1.2
162,Oman,65008,1.19
163,Papua New Guinea,27957,1.18
164,Fiji,10626,1.17
165,Maldives,6943,1.16
166,Qatar,32270,1.16
168,Luxembourg,6766,1.06
169,French Polynesia,2993,1.05
170,Tajikistan,105046,1.05
171,Suriname,6489,1.05
172,Bahrain,19741,1.04
173,Cuba,118772,1.04
174,Gabon,7221,1.03
175,Turkmenistan,63937,1.03
176,Iceland,8016,1.01
177,Guyana,7983,1.01
178,Macao,3921,1.01
179,Cabo Verde,5395,1.0
180,New Caledonia,2983,0.99
181,Brunei Darussalam,5169,0.99
182,"Virgin Islands , U.S.",1032,0.99
183,Cayman Islands,1075,0.98
184,Bermuda,681,0.97
